"filename", "language", "TOML", "Markdown", "HTML", "JavaScript", "XML", "CSS", "YAML", "comment", "blank", "total"
"d:\blog local\lira-gallery-website\public\gallery\blueprints\index.html", "HTML", 0, 0, 120, 0, 0, 0, 0, 0, 57, 177
"d:\blog local\lira-gallery-website\public\gallery\index.html", "HTML", 0, 0, 119, 0, 0, 0, 0, 0, 55, 174
"d:\blog local\lira-gallery-website\public\index.html", "HTML", 0, 0, 107, 0, 0, 0, 0, 0, 53, 160
"d:\blog local\lira-gallery-website\public\index.xml", "XML", 0, 0, 0, 0, 89, 0, 0, 0, 1, 90
"d:\blog local\lira-gallery-website\public\js\image-gallery.js", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 5, 7, 32
"d:\blog local\lira-gallery-website\public\js\screensaver.js", "JavaScript", 0, 0, 0, 36, 0, 0, 0, 0, 9, 45
"d:\blog local\lira-gallery-website\public\js\time.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 4, 4, 21
"d:\blog local\lira-gallery-website\public\sitemap.xml", "XML", 0, 0, 0, 0, 48, 0, 0, 0, 1, 49
"d:\blog local\lira-gallery-website\public\tags\index.html", "HTML", 0, 0, 91, 0, 0, 0, 0, 0, 41, 132
"d:\blog local\lira-gallery-website\public\tags\index.xml", "XML", 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
"d:\blog local\lira-gallery-website\public\ui\arrow.svg", "XML", 0, 0, 0, 0, 15, 0, 0, 0, 0, 15
"d:\blog local\lira-gallery-website\public\ui\circles.svg", "XML", 0, 0, 0, 0, 38, 0, 0, 0, 0, 38
"d:\blog local\lira-gallery-website\public\ui\decorative-overlay.svg", "XML", 0, 0, 0, 0, 134, 0, 0, 1, 1, 136
"d:\blog local\lira-gallery-website\public\ui\lander.svg", "XML", 0, 0, 0, 0, 1473, 0, 0, 1, 1, 1475
"d:\blog local\lira-gallery-website\public\ui\lira-logo-box.svg", "XML", 0, 0, 0, 0, 16, 0, 0, 0, 0, 16
"d:\blog local\lira-gallery-website\public\ui\ncf.svg", "XML", 0, 0, 0, 0, 40, 0, 0, 0, 1, 41
"d:\blog local\lira-gallery-website\public\ui\nia-svg.svg", "XML", 0, 0, 0, 0, 18625, 0, 0, 0, 13, 18638
"d:\blog local\lira-gallery-website\public\ui\side-deco.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\blog local\lira-gallery-website\public\ui\star.svg", "XML", 0, 0, 0, 0, 11, 0, 0, 1, 1, 13
"d:\blog local\lira-gallery-website\static\css\base.css", "CSS", 0, 0, 0, 0, 0, 622, 0, 33, 91, 746
"d:\blog local\lira-gallery-website\static\css\footer.css", "CSS", 0, 0, 0, 0, 0, 41, 0, 6, 9, 56
"d:\blog local\lira-gallery-website\static\css\side-bars.css", "CSS", 0, 0, 0, 0, 0, 54, 0, 6, 8, 68
"d:\blog local\lira-gallery-website\static\css\single.css", "CSS", 0, 0, 0, 0, 0, 210, 0, 14, 43, 267
"d:\blog local\lira-gallery-website\static\js\image-gallery.js", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 5, 7, 32
"d:\blog local\lira-gallery-website\static\js\screensaver.js", "JavaScript", 0, 0, 0, 36, 0, 0, 0, 0, 9, 45
"d:\blog local\lira-gallery-website\static\js\time.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 4, 4, 21
"d:\blog local\lira-gallery-website\static\ui\arrow.svg", "XML", 0, 0, 0, 0, 15, 0, 0, 0, 0, 15
"d:\blog local\lira-gallery-website\static\ui\circles.svg", "XML", 0, 0, 0, 0, 38, 0, 0, 0, 0, 38
"d:\blog local\lira-gallery-website\static\ui\decorative-overlay.svg", "XML", 0, 0, 0, 0, 134, 0, 0, 1, 1, 136
"d:\blog local\lira-gallery-website\static\ui\lander.svg", "XML", 0, 0, 0, 0, 1473, 0, 0, 1, 1, 1475
"d:\blog local\lira-gallery-website\static\ui\lira-logo-box.svg", "XML", 0, 0, 0, 0, 16, 0, 0, 0, 0, 16
"d:\blog local\lira-gallery-website\static\ui\ncf.svg", "XML", 0, 0, 0, 0, 40, 0, 0, 0, 1, 41
"d:\blog local\lira-gallery-website\static\ui\nia-svg.svg", "XML", 0, 0, 0, 0, 18625, 0, 0, 0, 13, 18638
"d:\blog local\lira-gallery-website\static\ui\side-deco.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\blog local\lira-gallery-website\static\ui\star.svg", "XML", 0, 0, 0, 0, 11, 0, 0, 1, 1, 13
"Total", "-", 41, 94, 2439, 138, 40933, 1854, 62, 177, 1507, 47245
